Razão Social;Nome Fantasia;CNPJ;Porte;Data de Inicio da Operação;Situação;Atividade;CEP;UF;Localidade;Bairro;Logradouro;Complemento;Telefone;Email Institucional;Email Comercial;Site;Data de Geração do Certificado;Data de Validade do Certificado;Código do Certificado;CNAE;Natureza Jurídica;Tipo de Atividade;Área Total Construída em m2;Área Locável em m2;Línguas
GUILHERME AUGUSTO OLIANI;MASSARANDUBA HOTEL FAZENDA E RESTAURANTE;28.027.346/0001-00;MICROEMPRESA;23/06/2017;Em Operação;Centro de Convenções;89108-000;SC;Massaranduba; - ;Estrada Rio Bonito, 222;;(47)3368-2467;gerenciamassaranduba@gmail.com;gerenciamassaranduba@gmail.com; - ;30/05/2019 14:32:51;30/05/2021 14:32:51;28.027.346/0001-00;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresário (Individual);Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;48;48; - 
WFC-GOIAS SERVICOS E PRESTACOES EIRELI;WFC-GOIAS SERVICOS E PRESTACOES;28.352.922/0001-87;MICROEMPRESA;07/08/2017;Em Operação;Centro de Convenções;75113-160;GO;Anápolis;Jundiaí;Joaquim Propício de Pina;Nr.28;(62)9854-8267;wfcgoservicos@gmail.com;wfcgoservicos@gmail.com; - ;26/08/2019 09:01:52;26/08/2021 09:01:52;28.352.922/0001-87;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Centro de Convenções e Feiras;200;50; - 
ADELAIDE DE BRITO CHAGAS 04218650675;ADELAIDE CHAGAS DECORACAO E EVENTOS;28.907.508/0001-97;MICROEMPRESA;20/10/2017;Em Operação;Centro de Convenções;37170-000;MG;Boa Esperança; - ;Avenida Getulio  vargas ;centro;(35)9178-0170;adelaidebchagas@hotmail.com;adelaidebchagas@hotmail.com; - ;30/04/2019 14:01:26;30/04/2021 14:01:26;28.907.508/0001-97;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresário (Individual);Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;1000;1000;Português
FASHION HALL CENTRO DE EVENTOS E CONVENCOES LTDA;FASHION HALL EVENTOS;29.158.154/0001-98;MICROEMPRESA;28/11/2017;Em Operação;Centro de Convenções;87065-006;PR;Maringá;Parque Industrial;Marcelo Messias Busiquia;1392;(44)3024-0442;SISTICONTABIL@HOTMAIL.COM;comercial@fashionhall.com.br;fashionhall.com.br;15/05/2019 11:51:55;15/05/2021 11:51:55;29.158.154/0001-98;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;4306;1700; - 
BARRETOS COUNTRY RESORT E CONVENCOES LTDA;BARRETOS COUNTRY RESORT;29.244.021/0001-34;DEMAIS;11/12/2017;Em Operação;Centro de Convenções;14785-100;SP;Barretos;Aeroporto;Pedro Vicentini;- lado ímpar;(17)3321-2321;GERENCIA@BARRETOSCOUNTRYHOTEL.COM.BR;GERENCIA@BARRETOSCOUNTRYHOTEL.COM.BR;www.barretoscountry.com.br;10/08/2018 14:29:44;10/08/2020 14:29:44;29.244.021/0001-34;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Centro de Convenções e Feiras;4104;2200; - 
MIAMI FOODS & BEVERAGE LTDA;MIAMI FOODS;29.788.424/0001-44;EMPRESA DE PEQUENO PORTE;27/02/2018;Em Implantação;Centro de Convenções;15400-000;GO;Goiânia; - ;Alameda dos Maracas;Condomínio Thermas de Olímpia Resorts;(62)9986-6749;MIAMIFOODSBEVERAGE@GMAIL.COM;MIAMIFOODSBEVERAGE@GMAIL.COM; - ;04/06/2018 08:46:22;04/06/2020 08:46:22;29.788.424/0001-44;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Centro de Convenções e Feiras;1200;700;Inglês
BALNEARIO AGUAS CLARAS EIRELI;BALNEARIO AGUAS CLARAS;30.126.782/0001-70;MICROEMPRESA;06/04/2018;Em Operação;Centro de Convenções;68485-000;PA;Pacajá; - ;Br230;;(91)9360-5829;mariatavares1887@gmail.com;djanderson.kabulozo@gmail.com; - ;02/04/2019 10:05:16;02/04/2021 10:05:16;30.126.782/0001-70;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;4000;3000; - 
D ROBERTO BRAZ FREIRE;DS ENTRETENIMENTOS;30.290.366/0001-03;MICROEMPRESA;24/04/2018;Em Operação;Centro de Convenções;56509-150;PE;Arcoverde;São Miguel;Eurico Pacheco Freire 277; - ;(87)9653-2774;dsentretenimentos@hotmail.com;dsentretenimentos@hotmail.com; - ;12/06/2018 07:01:59;12/06/2020 07:01:59;30.290.366/0001-03;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresário (Individual);Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;5000;5000; - 
ESTANCIA DA SERRA EVENTOS LTDA;ESTANCIA DA SERRA EVENTOS;30.333.089/0001-79;MICROEMPRESA;30/04/2018;Em Implantação;Centro de Convenções;89815-899;SC;Chapecó;Área Rural de Chapecó;Rural; - ;(49)2049-9071;estanciadaserrachapeco@gmail.com;estanciadaserrachapeco@gmail.com; - ;03/05/2018 13:17:37;03/05/2020 13:17:37;30.333.089/0001-79;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;3000;3000;Inglês
MMB PRODUCOES E EVENTOS LTDA;MMB EVENTOS;30.872.391/0001-03;MICROEMPRESA;06/07/2018;Em Operação;Centro de Convenções;70773-560;DF;Brasília;Asa Norte;CLN 116 Bloco F;sala 102;(61)9285-0989;contato@cerradoproducoes.com.br;contato@cerradoproducoes.com.br; - ;31/05/2019 15:32:46;31/05/2021 15:32:46;30.872.391/0001-03;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Sociedade Empresária Limitada;Centro de Convenções e Feiras;5000;4000; - 
HOTEL PARAISO TROPICAL LTDA;VILLAGE PARAISO TROPICAL;30.953.910/0001-50;MICROEMPRESA;17/07/2018;Em Operação;Centro de Convenções;45428-000;BA;Morro de São Paulo; - ;Terceira Praia;;(75)3652-1090;GM@VILLAGEPARAISOTROPICAL.COM.BR;GM@VILLAGEPARAISOTROPICAL.COM.BR; - ;02/05/2019 15:14:30;02/05/2021 15:14:30;30.953.910/0001-50;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Sociedade Empresária Limitada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;1500;400;Português|Espanhol|Italiano|Inglês
FRIOPOLIS HOTELARIA EIRELI;HOTEL VILA VERDE;31.319.783/0001-02;EMPRESA DE PEQUENO PORTE;11/12/1986;Em Operação;Centro de Convenções;28630-310;RJ;Nova Friburgo;Córrego D'Antas;Antônio Mário de Azevedo; - ;(22)2529-3451;contatos@vilaverdehotel.com.br;contatos@vilaverdehotel.com.br;www.vilaverdehotel.com.br;31/07/2018 11:37:00;31/07/2020 11:37:00;31.319.783/0001-02;8230-0/02 - CASAS DE FESTAS E EVENTOS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Centro de Convenções e Feiras;300;280;Espanhol|Inglês
POUSADA VALE DO RISO LTDA;VALE DO RISO POUSO E ARTE;31.499.321/0001-06;MICROEMPRESA;13/09/2018;Em Implantação;Centro de Convenções;97185-000;RS;Itaara; - ;Rua Syllas Pauler 2481;;(55)9912-6648;VALEDORISOITAARA@GMAIL.COM;VALEDORISOITAARA@GMAIL.COM;www.valedoriso.com.br;26/03/2019 16:30:47;26/03/2021 16:30:47;31.499.321/0001-06;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Centro de Convenções e Feiras;1200;1200; - 
PASARGADA EVENTOS EIRELI;PASARGADA EVENTOS;32.293.736/0001-91;MICROEMPRESA;20/12/2018;Em Implantação;Centro de Convenções;72980-000;GO;Pirenópolis; - ;chacara pasargada;00;(62)9972-7044;taynapireneus@yahoo.com.br;taynapireneus@yahoo.com.br; - ;27/06/2019 13:37:15;27/06/2021 13:37:15;32.293.736/0001-91;8230-0/02 - CASAS DE FESTAS E EVENTOS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;1800;1800;Português
CRISTINA RAYMUNDO PALAZZO SILVA 94072060500;CCI- CENTRO DE CONVENCOES DE ITANHEM;32.360.624/0001-06;MICROEMPRESA;05/01/2019;Em Operação;Centro de Convenções;45970-000;BA;Itanhém; - ;Rua Presidente Getúlio Vargas, 33;Térreo;(73)8816-3197;kiupalazzo@hotmail.com;kiupalazzo@hotmail.com; - ;26/04/2019 13:51:56;26/04/2021 13:51:56;32.360.624/0001-06;8230-0/02 - CASAS DE FESTAS E EVENTOS;Empresário (Individual);Centro de Convenções e Feiras;620;450; - 
JOSEILTON GODOY FEBRONIO;GRUPO SERGIPANAS;32.436.389/0001-09;MICROEMPRESA;14/01/2019;Em Operação;Centro de Convenções;49200-000;SE;Estância; - ;4269;DISTRITO INDUSTRIAL;(79)9640-0018;GRUPOSERGIPANAS@HOTMAIL.COM;GRUPOSERGIPANAS@HOTMAIL.COM; - ;08/07/2019 09:54:41;08/07/2021 09:54:41;32.436.389/0001-09;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresário (Individual);Centro de Convenções e Feiras;1;1; - 
STL CLUBE DE CAMPING E ENTRETENIMENTO LTDA;STL VALLEY;32.859.376/0001-42;MICROEMPRESA;22/02/2019;Em Operação;Centro de Convenções;37408-000;MG;São Thomé das Letras; - ;sn;;(35)3214-3076;FINANCEIRO@IPASS.COM.BR;FINANCEIRO@IPASS.COM.BR; - ;24/04/2019 09:17:35;24/04/2021 09:17:35;32.859.376/0001-42;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;72000;25000; - 
JOSE LUIZ OLEIVEIRA WERF;COLCHOES WERF;33.289.821/0001-49;MICROEMPRESA;08/04/2019;Em Implantação;Centro de Convenções;93801-480;RS;Sapiranga;Ferrabráz;Anita Garibaldi, N 181; - ;(51)9997-1089;ELISSANDROWERFWERF@GMAIL.COM;ELISSANDROWERFWERF@GMAIL.COM; - ;29/04/2019 15:09:59;29/04/2021 15:09:59;33.289.821/0001-49;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresário (Individual);Centro de Convenções e Feiras;1200;1200; - 
REICOL HOTEIS EIRELI;CASTELO INN HOTEL;33.386.335/0001-49;MICROEMPRESA;04/10/1989;Em Operação;Centro de Convenções;74530-010;GO;Goiânia;Setor Coimbra;Castelo Branco;- de 850 a 2242 - lado par;(62)3226-4400;g.operacional@casteloinnhotel.com.br;g.operacional@casteloinnhotel.com.br;www.casteloinnhotel.com.br;26/03/2018 11:35:36;26/03/2020 11:35:36;33.386.335/0001-49;8230-0/02 - CASAS DE FESTAS E EVENTOS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Centro de Convenções e Feiras;464860;501740; - 
GABRIEL KENNEDY A BARROS;POUSADA RIO GRAJAU;33.638.840/0001-33;MICROEMPRESA;16/05/2019;Em Operação;Centro de Convenções;65940-000;MA;Grajaú; - ;Rua Sete de Setembro, 26;;(99)9158-1030;GABIKAB566@GMAIL.COM;GABIKAB566@GMAIL.COM; - ;03/09/2019 17:44:29;03/09/2021 17:44:29;33.638.840/0001-33;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresário (Individual);Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;160;120; - 
LER CULTURAL EIRELI;LER CULTURAL;33.773.036/0001-67;MICROEMPRESA;30/05/2019;Em Operação;Centro de Convenções;22793-297;RJ;Rio de Janeiro;Barra da Tijuca;Mesquitinha; - ;(21)2494-3039;nelson@escalaeventos.com.br;nelson@escalaeventos.com.br; - ;05/06/2019 14:54:06;05/06/2021 14:54:06;33.773.036/0001-67;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;150;300; - 
W7G CONSULTORIA EMPRESARIAL EIRELI;OLD ROAD;34.282.567/0001-10;MICROEMPRESA;22/07/2019;Em Operação;Centro de Convenções;02256-000;SP;São Paulo;Vila Constança;das Vertentes; - ;(15)3542-1698;WAGNERGRANS@GMAIL.COM;WAGNERGRANS@GMAIL.COM; - ;05/08/2019 13:43:40;05/08/2021 13:43:40;34.282.567/0001-10;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;1400;2000;Inglês|Espanhol
CAPITAL EMPREENDIMENTOS TURISTICOS EIRELI;CANELA MARINA CLUB;38.139.101/0001-10;MICROEMPRESA;25/02/1994;Em Operação;Centro de Convenções;77015-542;TO;Palmas;Plano Diretor Sul;ALCSO 55 Conjunto 1;Lote 5;(63)9998-4713;ncepetroshop@gmail.com;ncepetroshop@gmail.com; - ;14/08/2019 15:54:20;14/08/2021 15:54:20;38.139.101/0001-10;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;1200;1000; - 
NEFFA TURISMO EVENTOS E COMERCIO SA;CENTRO DE CONVENÇÕES DE VITÓRIA;39.814.058/0001-04;DEMAIS;03/05/1994;Em Operação;Centro de Convenções;29056-950;ES;Vitória;Santa Lúcia;Centro de Covenções de Vitória; - ;(27)3335-4600;cadastro@lmneffa.com.br;cadastro@lmneffa.com.br;www.gruponeffa.com.br;04/12/2017 17:42:57;04/12/2019 00:00:00;39.814.058/0001-04;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Anônima Fechada;Centro de Convenções e Feiras;8112;6900;Inglês
HOTEIS ROYAL PALM PLAZA LTDA.;ROYAL PALM PLAZA;46.134.425/0005-18;DEMAIS;14/08/2015;Em Operação;Centro de Convenções;13051-093;SP;Campinas;Jardim do Lago Continuação;Monsenhor Luís Fernandes de Abreu, 311; - ;(19)2137-3708;fiscal.hoteis@grupoarcel.com.br;fiscal.hoteis@grupoarcel.com.br; - ;16/08/2018 12:12:53;16/08/2020 12:12:53;46.134.425/0005-18;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Centro de Convenções e Feiras;38361800;20959770; - 
POUSADA DA VINICOLA LTDA;POUSADA DA VINICOLA;72.554.371/0001-26;MICROEMPRESA;10/08/1993;Em Operação;Centro de Convenções;88840-000;SC;Urussanga; - ;Estrada Geral s/n;Vigna Mazon;(48)3465-1500;mazon@mazon.com.br;mazon@mazon.com.br;www.mazon.com.br;01/06/2018 14:31:44;01/06/2020 14:31:44;72.554.371/0001-26;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;1900;1000; - 
RESTAURANTE CANTINA ITALIANA LTDA;RESTAURANTE CANTINA ITALIANA;82.735.507/0001-58;EMPRESA DE PEQUENO PORTE;30/10/1990;Em Operação;Centro de Convenções;88270-000;SC;Nova Trento; - ;Rua Dos Imigrantes;;(48)3267-0028;cantinaitalianant@gmail.com;cantinaitalianant@gmail.com; - ;10/09/2018 13:54:26;10/09/2020 13:54:26;82.735.507/0001-58;8230-0/01 - SERVIÇOS DE ORGANIZAÇÃO DE FEIRAS, CONGRESSOS, EXPOSIÇÕES E FESTAS;Sociedade Empresária Limitada;Centro de Exposições;500;400; - 
FAZENDA EVARISTO EVENTOS LTDA;Fazenda Evaristo;83.645.093/0001-39;MICROEMPRESA;30/08/1979;Em Operação;Centro de Convenções;89295-000;SC;Rio Negrinho; - ;Est RIN 016 Pedro Stoeberl;Número 3705 Rio dos Bugres;(47)9841-4388;guilherme@fazendaevaristo.com.br;guilherme@fazendaevaristo.com.br;www.fazendaevaristo.com.br;22/05/2019 11:29:26;22/05/2021 11:29:26;83.645.093/0001-39;8230-0/02 - CASAS DE FESTAS E EVENTOS;Sociedade Empresária Limitada;Pavilhão de Feiras, Centro de Eventos, Arena Multiuso e Espaço para Eventos;10000;50000;Inglês

